Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.01,symmetric,0.41863634481913814
100% Corpus,6,0.31,0.01,0.3869851676440128
100% Corpus,6,0.31,0.31,0.3945940463717488
100% Corpus,6,0.31,0.61,0.34914653561660586
100% Corpus,6,0.31,0.9099999999999999,0.350375124755673
100% Corpus,6,0.31,symmetric,0.38756247957029927
100% Corpus,6,0.61,0.01,0.3774864192000033
100% Corpus,6,0.61,0.31,0.36383975534854907
100% Corpus,6,0.61,0.61,0.3497685897350727
100% Corpus,6,0.61,0.9099999999999999,0.31031899612487795
100% Corpus,6,0.61,symmetric,0.3783852682092444
100% Corpus,6,0.9099999999999999,0.01,0.4429280609730048
100% Corpus,6,0.9099999999999999,0.31,0.3903846333335874
100% Corpus,6,0.9099999999999999,0.61,0.40925103898854953
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4841584250820898
100% Corpus,6,0.9099999999999999,symmetric,0.40472284197984526
100% Corpus,6,symmetric,0.01,0.4058715480762775
100% Corpus,6,symmetric,0.31,0.38246722543441364
100% Corpus,6,symmetric,0.61,0.37646232123298223
100% Corpus,6,symmetric,0.9099999999999999,0.3691407049218352
100% Corpus,6,symmetric,symmetric,0.385725981040155
100% Corpus,6,asymmetric,0.01,0.368836902505092
100% Corpus,6,asymmetric,0.31,0.41379022345428557
100% Corpus,6,asymmetric,0.61,0.41632912523559473
100% Corpus,6,asymmetric,0.9099999999999999,0.4200546063629809
100% Corpus,6,asymmetric,symmetric,0.35417365393214334
100% Corpus,7,0.01,0.01,0.3405986004906039
100% Corpus,7,0.01,0.31,0.3807823158534049
100% Corpus,7,0.01,0.61,0.39955139863385297
100% Corpus,7,0.01,0.9099999999999999,0.4068446492389665
100% Corpus,7,0.01,symmetric,0.3695938394950729
100% Corpus,7,0.31,0.01,0.34315898591266875
100% Corpus,7,0.31,0.31,0.3748585181157223
100% Corpus,7,0.31,0.61,0.3800235981551312
100% Corpus,7,0.31,0.9099999999999999,0.3582114131424875
100% Corpus,7,0.31,symmetric,0.3480789791086717
